,Registered Voters,Ballots Cast,Biden,Trump,Blankenship,Jorgensen,Carroll,WRITE-IN
"City of Glendale Wards 4,10 ",1789,1661,1172,468,3,9,2,3
"City of Glendale Wards 5,11 (D ",1437,1316,934,357,1,13,4,3
City of Glendale Ward 11S (Dis ,334,279,235,41,0,1,1,0
"City of Glendale Wards 6,12 ",1285,1156,866,270,2,9,0,6
"V. Greendale Wards 1,2 ",1894,1768,824,916,1,19,1,4
"V. Greendale Wards 3,4 ",2180,2009,1061,904,5,30,1,6
"V. Greendale Wards 5,6 ",1929,1784,912,845,0,18,2,5
"V. Greendale Wards 7,8 ",1912,1762,900,824,3,24,2,3
"V. Greendale Wards 9,10 ",2319,2135,1087,1024,3,6,0,6
City of Greenfield Ward 1 ,1190,1037,576,438,1,11,5,4
City of Greenfield Ward 2 ,1023,903,445,447,0,10,1,0
City of Greenfield Ward 3 ,999,853,495,343,1,10,0,3
City of Greenfield Ward 4 ,1014,833,516,306,2,6,0,2
City of Greenfield Ward 5 ,1136,976,520,439,2,8,0,3
City of Greenfield Ward 6 ,1105,997,448,530,1,17,0,0
City of Greenfield Ward 7 ,1442,1300,629,643,2,12,3,7
City of Greenfield Ward 8 ,1277,1129,612,504,1,7,2,1
City of Greenfield Ward 9 ,1178,1068,550,499,0,14,0,2
City of Greenfield Ward 10 ,1238,1105,565,518,1,13,3,2
City of Greenfield Ward 11 ,1392,1328,619,689,1,8,2,4
City of Greenfield Ward 12 ,1469,1395,609,767,0,14,1,1
City of Greenfield Ward 13 ,723,677,352,317,0,4,1,1
City of Greenfield Ward 14 ,1025,910,469,428,0,10,0,3
City of Greenfield Ward 15 ,1020,915,431,467,2,11,0,1
City of Greenfield Ward 16 ,454,385,182,200,0,2,0,1
City of Greenfield Ward 17 ,909,816,461,346,1,5,0,2
City of Greenfield Ward 18 ,975,890,426,448,1,12,1,0
City of Greenfield Ward 19 ,1439,1300,764,525,1,5,0,3
City of Greenfield Ward 20 ,1522,1367,685,665,0,8,2,4
City of Greenfield Ward 21 ,974,840,450,372,1,12,2,1
"V. Hales Corners Wards 1,2,3  ",1800,1641,726,878,4,22,2,5
"V. Hales Corners Wards 4,5,6  ",1764,1610,751,829,1,14,2,6
